375, 1412748844
376, 1676317922
377, 1943322081
378, -2087202245
379, -1831259513
380, -1589564272
381, -1367544976
382, -1170188049
383, -1001925288
384, -866535880
385, -767060633
386, -705733203
387, -683931645
388, -702145656
389, -759965846
390, -856092426
391, -988366724
392, -1153818993
393, -1348733617
394, -1568733525
395, -1808877477
396, -2063772448
397, 1967273350
398, 1700251908
399, 1436127049
400, 1180831465
401, 940098448
402, 719333543
403, 523494826
404, 356980762
405, 223531140
406, 126143188
407, 67003936
408, 47441698
409, 67895429
410, 127906269
411, 226125205
412, 360346696
413, 527556727
414, 723999702
415, 945263912
416, 1186380581
417, 1441934862
418, 1706187678
419, 1973204279
420, -2057978704
421, -1803351363
422, -1563599024
423, -1344105894
424, -1149801273
425, -985049095
426, -853549583
427, -758255341
428, -701306677
429, -683983107
430, -706673014
431, -768867030
432, -869168085
433, -1005323040
434, -1174274774
435, -1372229193
436, -1594740445
437, -1836811583
438, -2093006363
439, 1937395907
440, 1670402295
441, 1406976334
442, 1153034441
443, 914279008
444, 696072678
445, 503315654
446, 340337005
447, 210797161
448, 117604850
449, 62853429
450, 47772617
451, 72701107
452, 137079073
453, 239459404
454, 377543549
455, 548230510
456, 747686736
457, 971433304
458, 1214445361
459, 1471265560
460, 1736126525
461, 2003079237
462, -2028838740
463, -1775600406
464, -1537860368
465, -1320957169
466, -1129762544
467, -968570383
468, -841000044
469, -749917165
470, -697367014
471, -684530291
472, -711694829
473, -778250448
474, -882702115
475, -1022703908
476, -1195112090
477, -1396054095
478, -1621017468
479, -1864950884
480, -2122375209
481, 1907457540
482, 1640566672
483, 1377913910
484, 1125397728
485, 888688962
486, 673103834
487, 483484272
488, 324088692
489, 198496127
490, 109527944
491, 59182168
492, 48589539
493, 77988179
494, 146717550
495, 253232796
496, 395141973
497, 569258973
498, 771673322
499, 997839151
500, 1242677155
501, 1500688912
502, 1766080617
503, 2032891725
504, -1999837520
505, -1748061321
506, -1512401909
507, -1298151614
508, -1110122178
509, -952536207
510, -828933093
511, -742088650
