C1,1,9;11;13;15;17;19;21;23;25
D,1,9;13;15;17;19;21;23;25
E,1,9;13;15;19;21;23;25
F,1,13;15;19;21;23;25
F#,1,9;13;17;19;21;23;25
G,1,13;19;21;23;25
A,1,13;21;23;25
Bb,1,13;15;19;23;25
B,1,13;23;25
C2,1,21;23;25
